question,answer,category,source
Are non-compete clauses valid in India?,Non-compete clauses after termination of employment are generally not enforceable in India. Section 27 of the Indian Contract Act 1872 declares every agreement in restraint of trade void. Indian courts have consistently held that non-compete clauses that restrict an employee from working after leaving a company are unenforceable. However non-compete during employment and non-solicitation clauses may be enforceable if reasonable.,employment_law,Indian Contract Act 1872
What is the Payment of Wages Act?,The Payment of Wages Act 1936 regulates the payment of wages to certain classes of employed persons. Key provisions: wages must be paid before the 7th or 10th of the month depending on establishment size. Deductions from wages are limited and regulated. Workers can file complaints for delayed or non-payment of wages before the authority appointed under the Act.,employment_law,Payment of Wages Act 1936
What is POSH Act?,The Sexual Harassment of Women at Workplace (Prevention Prohibition and Redressal) Act 2013 commonly known as the POSH Act mandates that every employer with 10 or more employees must constitute an Internal Complaints Committee (ICC) for redressal of sexual harassment complaints. The act covers all women regardless of their age or employment status.,employment_law,POSH Act 2013
What is the Domestic Violence Act?,The Protection of Women from Domestic Violence Act 2005 provides protection to women from domestic violence. It covers physical abuse sexual abuse verbal and emotional abuse and economic abuse. An aggrieved woman can file a complaint before a Magistrate and seek protection orders residence orders monetary relief custody orders and compensation orders.,family_law,Protection of Women from Domestic Violence Act 2005
What is the Hindu Marriage Act?,The Hindu Marriage Act 1955 codifies the law relating to marriage among Hindus. Key provisions include: conditions for a valid Hindu marriage (Section 5) registration of marriages ceremonies for Hindu marriages grounds for divorce (Section 13) including cruelty desertion conversion unsoundness of mind and incurable disease. Mutual consent divorce is available under Section 13B.,family_law,Hindu Marriage Act 1955
What are grounds for divorce in India?,Grounds for divorce under Hindu Marriage Act include: (1) Adultery (2) Cruelty (3) Desertion for a continuous period of not less than two years (4) Conversion to another religion (5) Unsoundness of mind (6) Leprosy (7) Venereal disease (8) Renunciation of the world (9) Not heard of as being alive for seven years. Mutual consent divorce is available under Section 13B after one year of separation.,family_law,Hindu Marriage Act 1955
What is the Right to Information Act?,The Right to Information Act 2005 (RTI) mandates timely response to citizen requests for government information. Any citizen can request information from a public authority which must reply within 30 days. The Act covers all constitutional authorities including the executive legislature and judiciary. There are penalties for delay or denial of information up to Rs 250 per day of delay.,administrative_law,Right to Information Act 2005
What is a legal notice?,A legal notice is a formal communication sent by one party to another informing them of their intention to take legal action if their demand is not met. Under Section 80 of CPC a two-month notice must be given before filing a suit against the government. Legal notices are usually sent through registered post or speed post and should contain: facts of the case relief sought and time limit for compliance.,general_law,Code of Civil Procedure 1908
What is an FIR?,A First Information Report (FIR) is a written document prepared by the police when they receive information about the commission of a cognizable offence. It is filed under Section 154 of CrPC. Key points: It can be filed by anyone not necessarily the victim. Police are obligated to register an FIR for cognizable offences. If police refuse to file an FIR you can send the complaint by registered post to the SP or file a complaint before a Magistrate under Section 156(3) CrPC.,crpc,Code of Criminal Procedure 1973
What is cyber crime in India?,Cyber crimes in India are dealt with under the Information Technology Act 2000 and Indian Penal Code. Common cyber crimes include: hacking (Section 66 IT Act) identity theft (Section 66C) cheating by personation (Section 66D) sending offensive messages (Section 66A struck down) cyber stalking (Section 354D IPC) publishing obscene material (Section 67 IT Act). Complaints can be filed at cybercrime.gov.in or the local police station.,cyber_law,Information Technology Act 2000
What is the Motor Vehicles Act?,The Motor Vehicles Act 1988 regulates all aspects of road transport vehicles. Key provisions include: licensing and registration of motor vehicles regulation of transport vehicles special provisions relating to accidents and liability insurance coverage for third-party risks and penalties for traffic offences. The 2019 amendment significantly increased penalties for traffic violations.,general_law,Motor Vehicles Act 1988
What is a Power of Attorney?,A Power of Attorney (POA) is a legal document where one person (the principal) authorizes another person (the agent or attorney) to act on their behalf. Types include: General Power of Attorney (broad authority) Special Power of Attorney (specific tasks) Durable Power of Attorney (continues even if principal becomes incapacitated). A POA must be executed on stamp paper and can be registered for added legal validity.,property_law,Indian Registration Act
What is RERA?,The Real Estate (Regulation and Development) Act 2016 (RERA) was enacted to protect homebuyers and regulate the real estate sector. Key features: all commercial and residential projects with area above 500 sq meters or 8 apartments must be registered. Developers must deposit 70% of funds in a separate account. Buyers can file complaints with RERA authorities for delays defects or violations.,property_law,RERA Act 2016
What is stamp duty?,Stamp duty is a tax levied by the state government on the execution of legal documents such as sale deeds lease deeds gift deeds and mortgage deeds. The rate varies from state to state typically ranging from 3% to 8% of the property value. Non-payment or insufficient payment of stamp duty can make the document inadmissible as evidence in court.,property_law,Indian Stamp Act 1899
What is arbitration in India?,Arbitration is an alternative dispute resolution mechanism governed by the Arbitration and Conciliation Act 1996. It allows parties to resolve disputes outside the court system through a neutral third party (arbitrator). The arbitral award is final and binding. Key features: parties can choose their arbitrator the process is confidential and faster than litigation and the award is enforceable like a court decree.,general_law,Arbitration and Conciliation Act 1996
What is cheque bounce law?,Cheque bounce is an offence under Section 138 of the Negotiable Instruments Act 1881. If a cheque is dishonoured due to insufficient funds the payee can file a complaint within 30 days of receiving the memo from the bank. The drawer must first send a demand notice within 30 days of dishonour. If payment is not made within 15 days of receipt of notice the payee can file a criminal complaint. Punishment includes imprisonment up to two years and fine up to twice the cheque amount.,financial_law,Negotiable Instruments Act 1881
What is GST?,GST (Goods and Services Tax) is a comprehensive indirect tax levied on the supply of goods and services in India since July 1 2017. It replaced multiple indirect taxes. GST has four slabs: 5% 12% 18% and 28%. Key features: input tax credit is available to avoid cascading taxes. Anti-profiteering provisions ensure businesses pass on the benefits of tax reduction to consumers.,financial_law,GST Act 2017
What is the difference between cognizable and non-cognizable offences?,Cognizable offences are serious offences where the police can arrest without a warrant and can start investigation without the order of a Magistrate (e.g. murder theft robbery). Non-cognizable offences are relatively less serious offences where the police cannot arrest without a warrant and cannot investigate without the permission of a Magistrate (e.g. assault defamation cheating).,crpc,Code of Criminal Procedure 1973
What is sedition law in India?,Sedition is defined under Section 124A of the Indian Penal Code. It criminalizes any words written or spoken or signs or visible representation that bring or attempt to bring into hatred or contempt or excite or attempt to excite disaffection towards the Government. The Supreme Court in 2022 effectively put Section 124A on hold directing the government to re-examine the colonial-era provision.,ipc,Indian Penal Code 1860
What is defamation law in India?,Defamation in India can be both a civil wrong and a criminal offence. Criminal defamation is punishable under Sections 499 and 500 of the IPC with imprisonment up to two years and/or fine. Civil defamation allows the aggrieved person to sue for damages. Truth is a defence to defamation if it is published for the public good. The Supreme Court upheld the validity of criminal defamation in 2016.,ipc,Indian Penal Code 1860
What is the Limitation Act?,The Limitation Act 1963 prescribes time limits within which a person must file a suit or appeal. Key limitation periods: 3 years for recovery of money or movable property 12 years for recovery of immovable property 30 days for filing appeal in most cases. Filing a case beyond the prescribed limitation period results in the case being time-barred unless the court condones the delay.,general_law,Limitation Act 1963
What is POCSO Act?,The Protection of Children from Sexual Offences Act 2012 (POCSO) is a special law to protect children below 18 years from sexual abuse and exploitation. It defines various types of sexual offences against children and prescribes stringent punishments. Key features: child-friendly procedures for recording evidence and trial establishment of special courts mandatory reporting of offences and time-bound trial completion.,criminal_law,POCSO Act 2012
What is the SC/ST Atrocities Act?,The Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act 1989 prevents atrocities against members of SC and ST communities. It lists various offences including: forcing to eat inedible substances wrongful dispossession from land compelling bonded labor tampering with drinking water sources and denial of public services. The Act provides for special courts and stringent punishments.,criminal_law,SC/ST Prevention of Atrocities Act 1989
What is money laundering?,Money laundering is an offence under the Prevention of Money Laundering Act 2002 (PMLA). It involves disguising the origins of illegally obtained money typically by passing it through a complex sequence of banking transfers or commercial transactions. Punishment includes rigorous imprisonment for 3 to 7 years and fine up to Rs 5 lakh. The Enforcement Directorate (ED) is the primary investigation agency.,financial_law,Prevention of Money Laundering Act 2002
What is the Insolvency and Bankruptcy Code?,The Insolvency and Bankruptcy Code 2016 (IBC) provides a time-bound process for resolving insolvency and bankruptcy. Key features: Corporate Insolvency Resolution Process (CIRP) must be completed within 180 days (extendable by 90 days). The National Company Law Tribunal (NCLT) adjudicates corporate insolvency. Individual insolvency is handled by the Debt Recovery Tribunal (DRT).,financial_law,Insolvency and Bankruptcy Code 2016
What is environmental law in India?,Environmental law in India is governed by multiple acts: Environment Protection Act 1986 Air (Prevention and Control of Pollution) Act 1981 Water (Prevention and Control of Pollution) Act 1974 and National Green Tribunal Act 2010. The National Green Tribunal (NGT) handles environmental disputes. Violations can lead to imprisonment up to 5 years and fine up to Rs 1 lakh or both.,environmental_law,Environment Protection Act 1986
What is a non-compete clause?,A non-compete clause is a contractual term that restricts an employee from working with competitors or starting a competing business after leaving the employment. In India such clauses are largely unenforceable after termination of employment as per Section 27 of the Indian Contract Act which declares agreements in restraint of trade as void. However non-compete during employment is generally valid.,employment_law,Indian Contract Act 1872
What is the difference between civil and criminal cases?,Civil cases involve disputes between individuals or organizations where the remedy is usually monetary compensation or specific performance. Criminal cases involve offences against the state or society where the remedy is punishment (imprisonment and/or fine). In civil cases the burden of proof is preponderance of probabilities. In criminal cases the prosecution must prove guilt beyond reasonable doubt. Civil cases are filed by individuals while criminal cases are filed by the state.,general_law,General Legal Knowledge
What is the penalty for drunk driving in India?,Under Section 185 of the Motor Vehicles Act driving under the influence of drugs or alcohol is punishable with imprisonment up to 6 months and/or fine up to Rs 10000 for the first offence. For second offence within 3 years imprisonment up to 2 years and/or fine up to Rs 15000. The 2019 amendment significantly increased these penalties.,general_law,Motor Vehicles Act 1988
What is RTI and how to file it?,RTI (Right to Information) can be filed by any Indian citizen under the RTI Act 2005. To file: (1) Write an application on plain paper addressed to the Public Information Officer (PIO) of the relevant government department (2) Pay Rs 10 as application fee (3) Submit via post email or online at rtionline.gov.in. The PIO must respond within 30 days. First appeal can be made within 30 days to the First Appellate Authority.,administrative_law,Right to Information Act 2005
What is the Hindu Succession Act?,The Hindu Succession Act 1956 governs succession and inheritance of property among Hindus Buddhists Jains and Sikhs. The 2005 amendment gave daughters equal coparcenary rights in ancestral property as sons. Key provisions: Class I heirs (including sons daughters mother widow) have priority in succession. A Hindu can dispose of self-acquired property by will.,family_law,Hindu Succession Act 1956
What is maintenance under Hindu law?,Under Section 125 CrPC and the Hindu Adoptions and Maintenance Act 1956 a wife children and parents can claim maintenance. A wife is entitled to maintenance if she is unable to maintain herself. The amount depends on the income of the husband and the reasonable needs of the wife. Interim maintenance can also be granted during the pendency of proceedings.,family_law,Hindu Adoptions and Maintenance Act 1956
What is medical negligence?,Medical negligence occurs when a medical professional fails to provide the standard of care that a reasonably competent professional would have provided resulting in harm to the patient. Under the Consumer Protection Act 2019 patients can file complaints in consumer courts. The Supreme Court in the Bolam test laid down that a doctor is not negligent if they act in accordance with a practice accepted as proper by a responsible body of medical men.,consumer_law,Consumer Protection Act 2019
What is the law on data privacy in India?,India enacted the Digital Personal Data Protection Act 2023 (DPDPA) to protect digital personal data. Key features: citizens have the right to know what data is being collected and for what purpose. Data fiduciaries must obtain consent before collecting personal data. Penalties for data breaches can go up to Rs 250 crore. The Act applies to processing of digital personal data within India or outside India if related to offering goods/services in India.,cyber_law,Digital Personal Data Protection Act 2023
What is the law on property registration?,Under the Indian Registration Act 1908 certain documents must be compulsorily registered including: sale deeds of immovable property leases for more than one year gift deeds of immovable property and powers of attorney authorizing sale of immovable property. Registration must be done at the office of the Sub-Registrar within whose jurisdiction the property is located. Non-registration makes the document inadmissible in evidence.,property_law,Indian Registration Act 1908
What is an employment bond?,An employment bond is a contract between an employer and employee requiring the employee to serve for a minimum period or pay a specified penalty for early departure. In India employment bonds are governed by the Indian Contract Act 1872. Courts have held that unreasonable employment bonds are void as they violate Section 27 (restraint of trade). However if the employer can prove actual expenditure on training courts may enforce reasonable bond amounts.,employment_law,Indian Contract Act 1872
What is the law on inheritance in India?,Inheritance laws in India differ based on religion. For Hindus Buddhists Jains and Sikhs: governed by the Hindu Succession Act 1956. For Muslims: governed by personal law (Shariat). For Christians and Parsis: governed by the Indian Succession Act 1925. A person can dispose of self-acquired property by will. If a person dies without a will (intestate) the property is distributed according to the applicable succession law.,family_law,Multiple Succession Laws
What is land acquisition law?,The Right to Fair Compensation and Transparency in Land Acquisition Rehabilitation and Resettlement Act 2013 (LARR Act) replaced the colonial Land Acquisition Act 1894. Key features: consent of 70-80% of landowners required for acquisition by private entities. Compensation must be at least 2 times the market value in urban areas and 4 times in rural areas. Social impact assessment is mandatory.,property_law,LARR Act 2013
"Hello, who are you and how can you help me?","Hello! I am NYAYA AI Legal Guardian. I assist citizens in analyzing legal documents for hidden risks, identifying fraudulent clauses, understanding fundamental constitutional rights, filing FIR complaints, understanding land registration records, and connecting with specialist legal advocates.",general_conversation,Nyaya AI Assistant
What should I do if I signed a risky or fraudulent legal document?,"If you signed a risky legal document: (1) Do not panic. (2) Immediately visit your local police station and file an FIR under IPC Sections 420 (Cheating), 406 (Breach of Trust), or 468 (Forgery). (3) Gather evidence including original agreements, receipts, and call records. (4) Identify whether your dispute belongs to Consumer Court or Civil Court. (5) Consult a specialized advocate on our Law Firms page immediately.",general_conversation,Nyaya AI Assistant
How much does it cost to consult a lawyer in India?,"Lawyer fees in India vary depending on experience and case complexity: (1) Middle Class advocates charge between Rs 12000 and Rs 25000 for standard agreements, rental disputes, or consumer claims. (2) Upper Middle Class advocates charge Rs 18000 to Rs 35000 for property title verification and labor disputes. (3) High Class corporate advocates charge Rs 40000 to Rs 100000+ for commercial litigation and banking fraud.",general_conversation,Nyaya AI Legal Directory
How do I file a police complaint or FIR if police refuse to register it?,"If the police refuse to register an FIR: (1) Send your written FIR complaint by Registered Post with Ack Due to the Superintendent of Police (SP) or Commissioner under CrPC Section 154(3). (2) If no action is taken within 15 days, file a private petition before the Judicial Magistrate under CrPC Section 156(3) / BNSS Section 175. The Magistrate can directly order the police to register the FIR and investigate.",general_conversation,Code of Criminal Procedure 1973
What is the difference between Consumer Court and Normal Civil Court?,"Consumer Court is designed for consumer disputes involving defective products, service deficiencies, GST overcharging, or unfair trade practices. It is faster, cheaper, and accepts online e-filing via edaakhil.nic.in without mandatory lawyer representation. Normal Civil Court handles property title disputes, breach of contracts, loan defaults, and eviction suits governed by the Code of Civil Procedure.",general_conversation,Indian Judicial System
What is the landmark Suraj Lamp case study on property title and GPA sale?,"In Suraj Lamp & Industries vs State of Haryana (2011), the Supreme Court of India ruled that transfer of immovable property through General Power of Attorney (GPA), Sale Agreement, or Will does not convey lawful title or ownership. The Supreme Court held that immovable property can only be legally transferred through a registered Sale Deed under the Indian Registration Act 1908.",case_study,Supreme Court of India (2011)
What is the Central Inland Water Transport Corp case study on unfair contract terms?,"In Central Inland Water Transport Corp vs Brojo Nath Ganguly (1986), the Supreme Court struck down a clause permitting an employer to terminate a permanent employee without cause by giving 3 months notice. The Court ruled that unconscionable, one-sided, oppressive clauses inserted by parties with dominant bargaining power are void under Section 23 of the Indian Contract Act as against public policy.",case_study,Supreme Court of India (1986)
What is the Percept DMark case study on non-compete clauses after employment?,"In Percept D'Mark (India) Pvt Ltd vs Zaheer Khan (2006), the Supreme Court affirmed that a restrictive covenant extending beyond the term of employment or contract is void and unenforceable under Section 27 of the Indian Contract Act 1872. The Court held that freedom of trade and right to livelihood under Article 21 cannot be restricted after contract termination.",case_study,Supreme Court of India (2006)
What is the Satyabrata Ghose case study on contract frustration and Force Majeure?,"In Satyabrata Ghose vs Mugneeram Bangur & Co (1954), the Supreme Court laid down the foundation of Section 56 of the Indian Contract Act regarding frustration of contract. The Court held that a contract becomes void if an untoward event or supervening impossibility makes performance of the contract impossible or unlawful, beyond the contemplation of parties.",case_study,Supreme Court of India (1954)
What is the Ram vs Property Dealer case study on hidden rental agreement charges?,"In Ram vs Property Dealer (2023), the tenant signed a rental agreement containing buried hidden maintenance charges of Rs 5000 per month. The Civil Court held that hidden clauses not explicitly highlighted during execution constitute unfair misrepresentation under Section 18 of the Indian Contract Act, ordering a full refund of Rs 60000 + Rs 25000 compensation.",case_study,Civil Court Judgment (2023)
